"filename", "language", "Maude", "comment", "blank", "total"
"c:\Users\samue\MASTER\auctioneer.maude", "Maude", 76, 0, 6, 82
"c:\Users\samue\MASTER\buildings.maude", "Maude", 8, 0, 0, 8
"c:\Users\samue\MASTER\entity.maude", "Maude", 56, 0, 9, 65
"c:\Users\samue\MASTER\fail.maude", "Maude", 11, 0, 2, 13
"c:\Users\samue\MASTER\field.maude", "Maude", 71, 3, 7, 81
"c:\Users\samue\MASTER\full-maude.maude", "Maude", 17006, 2979, 2581, 22566
"c:\Users\samue\MASTER\intersection.maude", "Maude", 12, 0, 4, 16
"c:\Users\samue\MASTER\listRat.maude", "Maude", 21, 0, 6, 27
"c:\Users\samue\MASTER\locatable.maude", "Maude", 31, 1, 7, 39
"c:\Users\samue\MASTER\location.maude", "Maude", 58, 4, 15, 77
"c:\Users\samue\MASTER\map.maude", "Maude", 75, 2, 4, 81
"c:\Users\samue\MASTER\message.maude", "Maude", 30, 1, 6, 37
"c:\Users\samue\MASTER\obstacle.maude", "Maude", 6, 0, 3, 9
"c:\Users\samue\MASTER\oidSet.maude", "Maude", 15, 0, 3, 18
"c:\Users\samue\MASTER\path.maude", "Maude", 28, 1, 10, 39
"c:\Users\samue\MASTER\pathfinder.maude", "Maude", 102, 0, 19, 121
"c:\Users\samue\MASTER\physicalObject.maude", "Maude", 21, 2, 7, 30
"c:\Users\samue\MASTER\rat-inf.maude", "Maude", 25, 1, 6, 32
"c:\Users\samue\MASTER\robot.maude", "Maude", 526, 12, 34, 572
"c:\Users\samue\MASTER\sorts.maude", "Maude", 14, 0, 10, 24
"c:\Users\samue\MASTER\task.maude", "Maude", 73, 0, 12, 85
"c:\Users\samue\MASTER\tests.maude", "Maude", 55, 0, 3, 58
"c:\Users\samue\MASTER\time-inf.maude", "Maude", 57, 0, 11, 68
"c:\Users\samue\MASTER\timedFarm.maude", "Maude", 218, 0, 19, 237
"Total", "-", 18595, 3006, 2784, 24385
