"filename", "language", "Maude", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\samue\MASTER\.VSCodeCounter\2024-10-24_15-06-33\details.md", "Markdown", 0, 33, 0, 0, 6, 39
"c:\Users\samue\MASTER\.VSCodeCounter\2024-10-24_15-06-33\diff-details.md", "Markdown", 0, 9, 0, 0, 6, 15
"c:\Users\samue\MASTER\.VSCodeCounter\2024-10-24_15-06-33\diff.md", "Markdown", 0, 12, 0, 0, 7, 19
"c:\Users\samue\MASTER\.VSCodeCounter\2024-10-24_15-06-33\results.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\samue\MASTER\.VSCodeCounter\2024-10-24_15-06-33\results.md", "Markdown", 0, 14, 0, 0, 7, 21
"c:\Users\samue\MASTER\auctioneer.maude", "Maude", 76, 0, 0, 0, 6, 82
"c:\Users\samue\MASTER\buildings.maude", "Maude", 8, 0, 0, 0, 0, 8
"c:\Users\samue\MASTER\entity.maude", "Maude", 56, 0, 0, 0, 9, 65
"c:\Users\samue\MASTER\fail.maude", "Maude", 11, 0, 0, 0, 2, 13
"c:\Users\samue\MASTER\field.maude", "Maude", 74, 0, 0, 3, 9, 86
"c:\Users\samue\MASTER\full-maude.maude", "Maude", 17006, 0, 0, 2979, 2581, 22566
"c:\Users\samue\MASTER\intersection.maude", "Maude", 12, 0, 0, 0, 4, 16
"c:\Users\samue\MASTER\listRat.maude", "Maude", 21, 0, 0, 0, 6, 27
"c:\Users\samue\MASTER\locatable.maude", "Maude", 31, 0, 0, 1, 7, 39
"c:\Users\samue\MASTER\location.maude", "Maude", 58, 0, 0, 4, 15, 77
"c:\Users\samue\MASTER\map.maude", "Maude", 75, 0, 0, 2, 4, 81
"c:\Users\samue\MASTER\message.maude", "Maude", 30, 0, 0, 1, 6, 37
"c:\Users\samue\MASTER\obstacle.maude", "Maude", 6, 0, 0, 0, 3, 9
"c:\Users\samue\MASTER\oidSet.maude", "Maude", 15, 0, 0, 0, 3, 18
"c:\Users\samue\MASTER\path.maude", "Maude", 28, 0, 0, 1, 10, 39
"c:\Users\samue\MASTER\pathfinder.maude", "Maude", 102, 0, 0, 0, 19, 121
"c:\Users\samue\MASTER\physicalObject.maude", "Maude", 21, 0, 0, 2, 7, 30
"c:\Users\samue\MASTER\rat-inf.maude", "Maude", 25, 0, 0, 1, 6, 32
"c:\Users\samue\MASTER\robot.maude", "Maude", 527, 0, 0, 20, 41, 588
"c:\Users\samue\MASTER\sorts.maude", "Maude", 14, 0, 0, 0, 10, 24
"c:\Users\samue\MASTER\task.maude", "Maude", 73, 0, 0, 0, 12, 85
"c:\Users\samue\MASTER\tests.maude", "Maude", 55, 0, 0, 0, 3, 58
"c:\Users\samue\MASTER\time-inf.maude", "Maude", 57, 0, 0, 0, 11, 68
"c:\Users\samue\MASTER\timedFarm.maude", "Maude", 218, 0, 0, 6, 21, 245
"Total", "-", 18599, 68, 1, 3020, 2821, 24509
